Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,
2025-01-01,3353.504150390625,3366.531494140625,3310.255859375,3332.406494140625,14195410493
2025-01-02,3451.392578125,3493.4482421875,3348.35205078125,3353.412109375,22243574698
2025-01-03,3605.009765625,3627.0556640625,3421.83154296875,3451.680908203125,21877299255
2025-01-04,3657.706787109375,3669.19677734375,3574.326904296875,3605.20068359375,16060610759
2025-01-05,3634.103759765625,3673.81298828125,3594.616943359375,3657.7431640625,12830306908
2025-01-06,3688.611328125,3743.941650390625,3611.21435546875,3634.11376953125,23973574043
2025-01-07,3381.577392578125,3701.10693359375,3358.08984375,3688.34130859375,32235312545
2025-01-08,3326.329345703125,3413.682861328125,3209.214599609375,3381.615478515625,34337730882
2025-01-09,3219.4306640625,3355.8623046875,3159.384033203125,3326.359619140625,28815726276
2025-01-10,3267.489990234375,3320.50048828125,3196.1103515625,3219.49658203125,26503845190
2025-01-11,3282.2177734375,3317.654296875,3219.69873046875,3267.5224609375,11772144561
2025-01-12,3265.951171875,3298.018310546875,3224.510498046875,3282.150390625,11647743556
2025-01-13,3135.499755859375,3335.193603515625,2920.5927734375,3266.095458984375,39911742769
2025-01-14,3223.6845703125,3254.75146484375,3126.805908203125,3135.670166015625,22847737224
2025-01-15,3450.53759765625,3473.1015625,3186.139892578125,3223.6845703125,25991614661
2025-01-16,3308.34521484375,3458.1806640625,3265.67578125,3450.30517578125,26395516475
2025-01-17,3474.107177734375,3525.54345703125,3307.31103515625,3308.191162109375,28200207229
2025-01-18,3305.78955078125,3493.06005859375,3228.333740234375,3473.563720703125,32420094038
2025-01-19,3208.96435546875,3444.20654296875,3127.623046875,3305.39794921875,57242875399
2025-01-20,3278.035400390625,3444.28271484375,3147.52294921875,3208.933837890625,52383187336
2025-01-21,3327.40625,3365.778076171875,3202.49267578125,3278.43603515625,32804001146
2025-01-22,3240.224609375,3364.74609375,3223.385986328125,3327.2373046875,22171220981
2025-01-23,3334.714111328125,3346.732421875,3184.06689453125,3240.475341796875,32419520084
2025-01-24,3309.554931640625,3424.89990234375,3277.3232421875,3334.808349609375,25578325671
2025-01-25,3317.26953125,3349.29833984375,3270.273193359375,3309.711669921875,13744316078
2025-01-26,3236.13427734375,3359.3125,3233.922119140625,3317.29150390625,14471528757
2025-01-27,3178.92041015625,3250.396484375,3024.091552734375,3235.855224609375,39412486482
2025-01-28,3077.112548828125,3222.7373046875,3040.09228515625,3179.0869140625,20718206194
2025-01-29,3112.9990234375,3177.98046875,3055.181640625,3076.380126953125,22727786058
2025-01-30,3247.780029296875,3282.986328125,3093.123779296875,3113.289794921875,19958405782
2025-01-31,3298.26513671875,3437.569091796875,3214.935546875,3247.8671875,30128115902
2025-02-01,3118.32861328125,3329.6552734375,3103.9189453125,3298.822265625,19917507079
2025-02-02,2868.69287109375,3161.894287109375,2755.474609375,3118.611572265625,42060930305
2025-02-03,2884.566650390625,2919.477294921875,2159.280517578125,2868.07861328125,92453553253
2025-02-04,2735.05126953125,2888.25,2636.165771484375,2883.818359375,48795275985
2025-02-05,2787.779052734375,2824.400146484375,2701.10498046875,2735.225830078125,31960764447
2025-02-06,2688.40087890625,2857.14208984375,2662.44580078125,2787.65869140625,29500645692
2025-02-07,2622.211181640625,2798.02880859375,2564.96826171875,2688.8974609375,29526663418
2025-02-08,2632.308349609375,2665.484619140625,2591.778564453125,2623.001953125,17059263074
2025-02-09,2628.72119140625,2695.222412109375,2530.435791015625,2632.578125,17517088276
2025-02-10,2661.166748046875,2692.80859375,2564.0185546875,2628.650146484375,19414208113
2025-02-11,2602.781982421875,2724.90234375,2565.397216796875,2661.315673828125,21156550492
2025-02-12,2736.902099609375,2794.867431640625,2551.174560546875,2602.828125,26919387954
2025-02-13,2675.902587890625,2756.443359375,2615.667724609375,2737.028564453125,19481004625
2025-02-14,2726.091552734375,2790.023681640625,2666.26806640625,2675.939453125,17732289901
2025-02-15,2693.559814453125,2738.68115234375,2668.53173828125,2726.07470703125,10803019357
2025-02-16,2663.31591796875,2724.096435546875,2655.297607421875,2693.5625,10593602117
2025-02-17,2743.19970703125,2848.7841796875,2640.18212890625,2663.2294921875,24170425078
2025-02-18,2669.3388671875,2754.6767578125,2606.900390625,2743.02294921875,23004152928
2025-02-19,2715.77099609375,2735.917724609375,2656.375732421875,2669.21337890625,15272401903
2025-02-20,2740.386474609375,2770.030517578125,2708.216064453125,2715.6826171875,15917259320
2025-02-21,2659.655517578125,2842.8271484375,2616.91943359375,2740.022216796875,31441524621
2025-02-22,2764.029296875,2797.057861328125,2653.867431640625,2660.035888671875,16403164397
2025-02-23,2821.310302734375,2850.6103515625,2746.773681640625,2764.031005859375,20493767269
2025-02-24,2513.8212890625,2839.010009765625,2478.8994140625,2820.456298828125,29127380459
2025-02-25,2493.592529296875,2529.669189453125,2326.632080078125,2514.2109375,40044790246
2025-02-26,2331.45263671875,2503.422119140625,2255.054931640625,2493.381591796875,28815111323
2025-02-27,2305.484375,2378.08740234375,2230.4482421875,2331.51025390625,24286213447
2025-02-28,2237.9052734375,2310.94921875,2076.169921875,2305.56005859375,35737904667
2025-03-01,2216.643310546875,2279.873046875,2144.090087890625,2237.942138671875,16135258239
2025-03-02,2519.694580078125,2548.811767578125,2175.321533203125,2216.521728515625,34854193845
2025-03-03,2145.573974609375,2522.316650390625,2097.076171875,2519.531005859375,31473561910
2025-03-04,2170.01513671875,2220.358642578125,1996.767578125,2145.65283203125,33935738380
2025-03-05,2241.977294921875,2272.79736328125,2156.099365234375,2169.98681640625,22105432727
2025-03-06,2202.476806640625,2319.396240234375,2177.677001953125,2241.906494140625,18509069102
2025-03-07,2138.987548828125,2254.232421875,2103.47265625,2202.498291015625,22425792863
2025-03-08,2201.51025390625,2232.3271484375,2107.72802734375,2139.7978515625,10533204814
2025-03-09,2015.5091552734375,2210.313720703125,1991.1934814453125,2201.708740234375,16103964994
2025-03-10,1861.1513671875,2150.706298828125,1812.766845703125,2015.430419921875,35005066442
2025-03-11,1919.844970703125,1961.7977294921875,1760.9417724609375,1859.7777099609375,30898385863
2025-03-12,1908.982666015625,1954.5711669921875,1832.01904296875,1919.664794921875,22898872951
2025-03-13,1862.9696044921875,1919.688232421875,1823.525390625,1909.015380859375,17977225564
2025-03-14,1909.467529296875,1945.0914306640625,1861.10595703125,1862.9979248046875,12122715282
2025-03-15,1937.3946533203125,1955.2384033203125,1904.9656982421875,1909.528076171875,6456484591
2025-03-16,1887.43505859375,1940.474365234375,1863.489013671875,1937.384765625,9292997638
2025-03-17,1927.0029296875,1951.6259765625,1880.484375,1887.44921875,10436892087
2025-03-18,1932.54345703125,1935.1820068359375,1872.5089111328125,1927.0057373046875,10170844746
2025-03-19,2057.7490234375,2068.764404296875,1928.24951171875,1932.5445556640625,20065206266
2025-03-20,1982.099853515625,2067.483642578125,1952.2432861328125,2057.951171875,13217865782
2025-03-21,1964.8475341796875,1994.8914794921875,1937.2115478515625,1981.85302734375,9708125480
2025-03-22,1980.037841796875,2005.0411376953125,1964.27099609375,1964.9404296875,6117036512
2025-03-23,2005.2991943359375,2019.889404296875,1977.7093505859375,1979.983642578125,7522339707
2025-03-24,2077.47900390625,2101.9833984375,1978.7637939453125,2005.7183837890625,14044912402
2025-03-25,2067.76416015625,2096.518310546875,2038.64453125,2078.568115234375,11735658914
2025-03-26,2009.1893310546875,2078.369140625,1982.412353515625,2067.5087890625,13178523590
2025-03-27,2002.357421875,2037.3961181640625,1987.7177734375,2008.9405517578125,11593274543
2025-03-28,1895.5029296875,2015.454345703125,1863.0106201171875,2002.4105224609375,18160526498
2025-03-29,1827.3203125,1911.90087890625,1799.2008056640625,1895.5496826171875,12194771785
2025-03-30,1806.2186279296875,1847.570556640625,1769.4127197265625,1827.31103515625,9854857162
2025-03-31,1823.47998046875,1852.5513916015625,1778.6922607421875,1806.3165283203125,15765030938
2025-04-01,1905.491455078125,1926.302978515625,1820.350341796875,1823.5623779296875,15001220420
2025-04-02,1795.313232421875,1951.1802978515625,1782.76025390625,1905.484619140625,22593742104
2025-04-03,1815.63720703125,1844.071044921875,1751.380859375,1794.97607421875,16450974373
2025-04-04,1815.335205078125,1833.956787109375,1760.588623046875,1815.60986328125,18061720814
2025-04-05,1805.9732666015625,1826.298583984375,1767.5135498046875,1815.344970703125,6374712479
2025-04-06,1576.72802734375,1815.5748291015625,1539.43798828125,1805.9630126953125,22154445576
2025-04-07,1555.240966796875,1634.0411376953125,1415.37353515625,1576.9498291015625,46073959047
2025-04-08,1472.5531005859375,1617.33984375,1447.610107421875,1554.93212890625,21315312919
2025-04-09,1668.0400390625,1687.18798828125,1386.79931640625,1472.6014404296875,39252195855
2025-04-10,1522.518798828125,1669.3941650390625,1474.9141845703125,1668.2017822265625,21379604307
2025-04-11,1567.1497802734375,1587.53857421875,1505.001953125,1522.4730224609375,14871838813
2025-04-12,1643.528564453125,1666.017578125,1546.819580078125,1567.15576171875,12110995013
